name,surname,worker_id,tel,city_name,street_name,street_code
לביא,מור,e63c0b36-1d85-11ed-861d-0242ac120002,+972 (20) 215 3183,פתח תקווה ,ריבלין,52
נגינה,אסרף,e63c5b40-1d85-11ed-861d-0242ac120002,+972 (82) 684 3109,פתח תקווה ,רמת סיב,32
לאוניד,משה,e63bfa60-1d85-11ed-861d-0242ac120002,+972 (88) 536 6503,פתח תקווה ,ש בת שבע,32
אביגיא,אברהם,e63bdff8-1d85-11ed-861d-0242ac120002,+972 (68) 872 8488,פתח תקווה ,ש זוגות צעירים,54
עדה,אטיאס,e63c1234-1d85-11ed-861d-0242ac120002,+972 (52) 383 8600,פתח תקווה ,ש מפונים,34
תבל,סגל,e63c024e-1d85-11ed-861d-0242ac120002,+972 (97) 227 2716,פתח תקווה ,ש סולל בונה,2
אביאם,פרץ,e63bdcba-1d85-11ed-861d-0242ac120002,+972 (39) 970 3937,פתח תקווה ,שווימר רבקה,7
עדי חן,שטרן,e63c1770-1d85-11ed-861d-0242ac120002,+972 (65) 211 3597,פתח תקווה ,"שז""ר זלמן",9
אביגיל,מלכה,e63be41c-1d85-11ed-861d-0242ac120002,+972 (91) 913 1600,פתח תקווה ,שכ בילינסון,32
לאונרד,שפירא,e63bfb96-1d85-11ed-861d-0242ac120002,+972 (77) 469 4571,פתח תקווה ,"של""ג",54
שבחיה,אהרוני,e63c479a-1d85-11ed-861d-0242ac120002,+972 (04) 507 2888,פתח תקווה ,שפילברג שרגא,34
כינרת,יוסף,e63bef52-1d85-11ed-861d-0242ac120002,+972 (58) 083 8040,פתח תקווה ,תדהר דוד,2
לאון,קליין,e63bf542-1d85-11ed-861d-0242ac120002,+972 (56) 513 1708,פתח תקווה ,תורה ועבודה,7
